id,name,category,measure,date,non_compliance
AFG,Afghanistan,Public health measures,Health screenings in airports and border crossings,2020-02-12,
AFG,Afghanistan,Public health measures,Introduction of quarantine policies,2020-02-12,
AFG,Afghanistan,Public health measures,Awareness campaigns,2020-02-12,
AFG,Afghanistan,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-02-12,
AFG,Afghanistan,Social distancing,Limit public gatherings,2020-03-12,
AFG,Afghanistan,Movement restrictions,Border closure,2020-02-24,
AFG,Afghanistan,Social distancing,Schools closure,2020-03-01,
AFG,Afghanistan,Social distancing,Limit public gatherings,2020-03-01,
AFG,Afghanistan,Public health measures,Strengthening the public health system,2020-03-01,
AFG,Afghanistan,Governance and socio-economic measures,Limit product imports/exports,2020-03-01,
AFG,Afghanistan,Movement restrictions,Border checks,2020-02-01,
ALB,Albania,Movement restrictions,International flights suspension,2020-03-09,Not applicable
ALB,Albania,Movement restrictions,Domestic travel restrictions,2020-03-16,Not applicable
ALB,Albania,Social distancing,Schools closure,2020-03-10,Not applicable
ALB,Albania,Social distancing,Limit public gatherings,2020-03-10,Not applicable
ALB,Albania,Movement restrictions,Checkpoints within the country,2020-03-10,Not applicable
ALB,Albania,Public health measures,Introduction of quarantine policies,2020-03-10,Not applicable
ALB,Albania,Governance and socio-economic measures,Economic measures,2020-03-12,Not applicable
ALB,Albania,Public health measures,Awareness campaigns,2020-03-11,Not applicable
ALB,Albania,Public health measures,Health screenings in airports and border crossings,2020-03-19,
ALB,Albania,Public health measures,Strengthening the public health system,2020-03-19,
ALB,Albania,Public health measures,Strengthening the public health system,2020-03-20,
ALB,Albania,Movement restrictions,Border closure,2020-03-14,
ALB,Albania,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-03-22,Fines
ALB,Albania,Movement restrictions,International flights suspension,2020-03-23,
ALB,Albania,Movement restrictions,Border closure,2020-03-23,
ALB,Albania,Social distancing,Limit public gatherings,2020-03-22,Fines
ALB,Albania,Governance and socio-economic measures,Economic measures,2020-03-22,Fines
ALB,Albania,Public health measures,Strengthening the public health system,2020-03-22,Fines
ALB,Albania,Public health measures,General recommendations,2020-03-22,Fines
ALB,Albania,Lockdown,Partial lockdown,2020-04-02,Not applicable
ALB,Albania,Movement restrictions,Curfews,2020-03-23,Not available
ALB,Albania,Movement restrictions,Domestic travel restrictions,2020-03-23,Not available
DZA,Algeria,Public health measures,Awareness campaigns,2020-03-05,Not applicable
DZA,Algeria,Social distancing,Schools closure,2020-03-12,Not applicable
DZA,Algeria,Movement restrictions,Border checks,2020-03-12,Not applicable
DZA,Algeria,Social distancing,Limit public gatherings,2020-03-12,Not applicable
DZA,Algeria,Social distancing,Public services closure,2020-03-20,
DZA,Algeria,Movement restrictions,Border closure,2020-03-17,
DZA,Algeria,Movement restrictions,International flights suspension,2020-03-20,
DZA,Algeria,Public health measures,Awareness campaigns,2020-03-20,
DZA,Algeria,Public health measures,Introduction of quarantine policies,2020-03-18,
DZA,Algeria,Movement restrictions,Border closure,2020-03-17,
DZA,Algeria,Movement restrictions,Domestic travel restrictions,2020-03-22,
DZA,Algeria,Lockdown,Partial lockdown,2020-03-23,
DZA,Algeria,Movement restrictions,Curfews,2020-03-23,
DZA,Algeria,Movement restrictions,Domestic travel restrictions,2020-03-23,Not available
DZA,Algeria,Governance and socio-economic measures,Military deployment,2020-03-23,Not available
DZA,Algeria,Movement restrictions,Curfews,2020-03-27,Not available
DZA,Algeria,Movement restrictions,International flights suspension,2020-04-01,Not applicable
DZA,Algeria,Movement restrictions,Domestic travel restrictions,2020-04-01,Not applicable
AGO,Angola,Public health measures,Health screenings in airports and border crossings,2020-03-03,Not applicable
AGO,Angola,Public health measures,Introduction of quarantine policies,2020-03-03,Refusal to enter the country
AGO,Angola,Public health measures,Awareness campaigns,2020-03-11,Not applicable
AGO,Angola,Movement restrictions,International flights suspension,2020-03-20,
AGO,Angola,Movement restrictions,Visa restrictions,2020-03-04,
AGO,Angola,Movement restrictions,Visa restrictions,2020-03-01,
AGO,Angola,Public health measures,Introduction of quarantine policies,2020-02-06,
AGO,Angola,Movement restrictions,International flights suspension,2020-03-20,Not applicable
AGO,Angola,Social distancing,Schools closure,2020-03-23,Not applicable
AGO,Angola,Public health measures,General recommendations,2020-03-22,Not applicable
AGO,Angola,Public health measures,Awareness campaigns,2020-03-22,Not applicable
AGO,Angola,Public health measures,Awareness campaigns,2020-03-22,Not applicable
AGO,Angola,Governance and socio-economic measures,State of emergency declared,2020-03-27,Not available
AGO,Angola,Governance and socio-economic measures,State of emergency declared,2020-03-27,Not available
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-27,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-27,Not applicable
AGO,Angola,Movement restrictions,Border checks,2020-03-27,Not applicable
AGO,Angola,Governance and socio-economic measures,Economic measures,2020-03-27,Not applicable
AGO,Angola,Governance and socio-economic measures,Economic measures,2020-03-26,
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-26,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-26,Not applicable
AGO,Angola,Governance and socio-economic measures,Economic measures,2020-03-26,Not applicable
AGO,Angola,Social distancing,Public services closure,2020-03-27,Not available
AGO,Angola,Governance and socio-economic measures,Limit product imports/exports,2020-03-27,Not available
AGO,Angola,Movement restrictions,Domestic travel restrictions,2020-03-27,Not available
AGO,Angola,Lockdown,Lockdown of refugee/idp camps or other minorities,2020-03-26,
AGO,Angola,Public health measures,Awareness campaigns,2020-03-28,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-28,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-29,
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-30,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-27,Not available
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-30,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-03-30,Not applicable
AGO,Angola,Public health measures,Awareness campaigns,2020-04-01,Arrest/Detention
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-01,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-02,Not applicable
AGO,Angola,Public health measures,General recommendations,2020-04-02,Not applicable
AGO,Angola,Social distancing,Schools closure,2020-04-01,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-02,Not applicable
AGO,Angola,Social distancing,Changes in prison-related policies,2020-04-02,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-03,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-03,Not applicable
AGO,Angola,Public health measures,Strengthening the public health system,2020-04-03,Not applicable
AGO,Angola,Public health measures,Awareness campaigns,2020-04-03,Not applicable
AGO,Angola,Social distancing,Limit public gatherings,2020-04-04,Not applicable
AGO,Angola,Social distancing,Limit public gatherings,2020-04-05,Not applicable
AGO,Angola,Governance and socio-economic measures,Emergency administrative structures activated or established,2020-04-06,Not applicable
AGO,Angola,Governance and socio-economic measures,Economic measures,2020-04-06,Not applicable
AGO,Angola,Social distancing,Limit public gatherings,2020-04-06,Not applicable
ARG,Argentina,Movement restrictions,International flights suspension,2020-03-12,Not applicable
ARG,Argentina,Movement restrictions,Visa restrictions,2020-03-11,Not applicable
ARG,Argentina,Public health measures,Introduction of quarantine policies,2020-03-12,Not applicable
ARG,Argentina,Social distancing,Limit public gatherings,2020-03-12,
ARG,Argentina,Movement restrictions,Visa restrictions,2020-03-15,Refusal to enter the country
ARG,Argentina,Movement restrictions,Domestic travel restrictions,2020-03-19,Not applicable
ARG,Argentina,Social distancing,Limit public gatherings,2020-03-19,Not applicable
ARG,Argentina,Social distancing,Public services closure,2020-03-16,
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-16,Not applicable
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-17,Not applicable
ARG,Argentina,Public health measures,Strengthening the public health system,2020-03-18,Not applicable
ARG,Argentina,Lockdown,Partial lockdown,2020-03-19,Not applicable
ARG,Argentina,Public health measures,Awareness campaigns,2020-02-17,Not applicable
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-20,Not available
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-23,Not available
ARG,Argentina,Governance and socio-economic measures,State of emergency declared,2020-03-19,Not available
ARG,Argentina,Social distancing,Schools closure,2020-03-16,Not applicable
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-24,Not applicable
ARG,Argentina,Movement restrictions,Surveillance and monitoring,2020-03-25,Not available
ARG,Argentina,Movement restrictions,Border closure,2020-03-26,Not available
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-26,Not applicable
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-28,Not applicable
ARG,Argentina,Governance and socio-economic measures,Economic measures,2020-03-29,Not applicable
ARG,Argentina,Governance and socio-economic measures,State of emergency declared,2020-03-29,Not applicable
ARG,Argentina,Lockdown,Partial lockdown,2020-03-29,Not applicable
ARG,Argentina,Movement restrictions,Border closure,2020-03-26,Refusal to enter the country
ARM,Armenia,Public health measures,Health screenings in airports and border crossings,2020-03-10,Not applicable
ARM,Armenia,Movement restrictions,Border closure,2020-02-24,Not applicable
ARM,Armenia,Movement restrictions,Visa restrictions,2020-03-11,Not applicable
ARM,Armenia,Movement restrictions,Border closure,2020-03-14,Not applicable
ARM,Armenia,Public health measures,Awareness campaigns,2020-01-31,Not applicable
ARM,Armenia,Public health measures,Introduction of quarantine policies,2020-03-13,Not applicable
ARM,Armenia,Social distancing,Schools closure,2020-03-02,Not applicable
ARM,Armenia,Governance and socio-economic measures,State of emergency declared,2020-03-16,
ARM,Armenia,Social distancing,Schools closure,2020-03-16,
ARM,Armenia,Social distancing,Limit public gatherings,2020-03-16,
ARM,Armenia,Movement restrictions,Visa restrictions,2020-03-16,
ARM,Armenia,Public health measures,Health screenings in airports and border crossings,2020-03-16,
ARM,Armenia,Movement restrictions,Border closure,2020-03-16,
ARM,Armenia,Movement restrictions,Visa restrictions,2020-03-23,Not applicable
ARM,Armenia,Movement restrictions,Visa restrictions,2020-03-23,Not applicable
ARM,Armenia,Movement restrictions,International flights suspension,2020-03-23,Not applicable
